Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2012,06,18,15.2,1,Y
IDCJAC0010,080023,2012,06,19,13.6,1,Y
IDCJAC0010,080023,2012,06,20,17.4,1,Y
IDCJAC0010,080023,2012,06,21,11.3,1,Y
IDCJAC0010,080023,2012,06,22,11.0,1,Y
IDCJAC0010,080023,2012,06,23,13.7,1,Y
IDCJAC0010,080023,2012,06,24,15.2,1,Y
IDCJAC0010,080023,2012,06,25,14.5,1,Y
IDCJAC0010,080023,2012,06,26,11.5,1,Y
IDCJAC0010,080023,2012,06,27,13.9,1,Y
IDCJAC0010,080023,2012,06,28,15.7,1,Y
IDCJAC0010,080023,2012,06,29,15.8,1,Y
IDCJAC0010,080023,2012,06,30,14.4,1,Y
IDCJAC0010,080023,2012,07,01,12.4,1,Y
IDCJAC0010,080023,2012,07,02,12.9,1,Y
IDCJAC0010,080023,2012,07,03,14.7,1,Y
IDCJAC0010,080023,2012,07,04,13.8,1,Y
IDCJAC0010,080023,2012,07,05,13.5,1,Y
IDCJAC0010,080023,2012,07,06,13.3,1,Y
IDCJAC0010,080023,2012,07,07,14.0,1,Y
IDCJAC0010,080023,2012,07,08,16.7,1,Y
IDCJAC0010,080023,2012,07,09,19.5,1,Y
IDCJAC0010,080023,2012,07,10,13.9,1,Y
IDCJAC0010,080023,2012,07,11,15.2,1,Y
IDCJAC0010,080023,2012,07,12,16.7,1,Y
IDCJAC0010,080023,2012,07,13,15.9,1,Y
IDCJAC0010,080023,2012,07,14,12.9,1,Y
IDCJAC0010,080023,2012,07,15,15.0,1,Y
IDCJAC0010,080023,2012,07,16,17.2,1,Y
IDCJAC0010,080023,2012,07,17,16.7,1,Y
IDCJAC0010,080023,2012,07,18,14.0,1,Y
IDCJAC0010,080023,2012,07,19,13.6,1,Y
IDCJAC0010,080023,2012,07,20,15.8,1,Y
IDCJAC0010,080023,2012,07,21,16.3,1,Y
IDCJAC0010,080023,2012,07,22,16.0,1,Y
IDCJAC0010,080023,2012,07,23,16.6,1,Y
IDCJAC0010,080023,2012,07,24,15.0,1,Y
IDCJAC0010,080023,2012,07,25,16.2,1,Y
IDCJAC0010,080023,2012,07,26,13.5,1,Y
IDCJAC0010,080023,2012,07,27,15.0,1,Y
IDCJAC0010,080023,2012,07,28,15.2,1,Y
IDCJAC0010,080023,2012,07,29,12.9,1,Y
IDCJAC0010,080023,2012,07,30,13.8,1,Y
IDCJAC0010,080023,2012,07,31,13.8,1,Y
IDCJAC0010,080023,2012,08,01,14.0,1,Y
IDCJAC0010,080023,2012,08,02,15.3,1,Y
IDCJAC0010,080023,2012,08,03,16.9,1,Y
IDCJAC0010,080023,2012,08,04,17.1,1,Y
IDCJAC0010,080023,2012,08,05,17.9,1,Y
IDCJAC0010,080023,2012,08,06,13.4,1,Y
IDCJAC0010,080023,2012,08,07,17.4,1,Y
IDCJAC0010,080023,2012,08,08,16.0,1,Y
IDCJAC0010,080023,2012,08,09,14.8,1,Y
IDCJAC0010,080023,2012,08,10,15.0,1,Y
IDCJAC0010,080023,2012,08,11,15.0,1,Y
IDCJAC0010,080023,2012,08,12,16.8,1,Y
IDCJAC0010,080023,2012,08,13,18.6,1,Y
IDCJAC0010,080023,2012,08,14,17.0,1,Y
IDCJAC0010,080023,2012,08,15,16.3,1,Y
IDCJAC0010,080023,2012,08,16,16.5,1,Y
IDCJAC0010,080023,2012,08,17,11.8,1,Y
IDCJAC0010,080023,2012,08,18,14.0,1,Y
IDCJAC0010,080023,2012,08,19,11.7,1,Y
IDCJAC0010,080023,2012,08,20,15.5,1,Y
IDCJAC0010,080023,2012,08,21,19.6,1,Y
IDCJAC0010,080023,2012,08,22,22.4,1,Y
IDCJAC0010,080023,2012,08,23,18.0,1,Y
IDCJAC0010,080023,2012,08,24,14.5,1,Y
IDCJAC0010,080023,2012,08,25,14.5,1,Y
IDCJAC0010,080023,2012,08,26,14.0,1,Y
IDCJAC0010,080023,2012,08,27,15.9,1,Y
IDCJAC0010,080023,2012,08,28,20.3,1,Y
IDCJAC0010,080023,2012,08,29,19.8,1,Y
IDCJAC0010,080023,2012,08,30,15.1,1,Y
IDCJAC0010,080023,2012,08,31,15.6,1,Y
IDCJAC0010,080023,2012,09,01,15.8,1,Y
IDCJAC0010,080023,2012,09,02,20.2,1,Y
IDCJAC0010,080023,2012,09,03,25.4,1,Y
IDCJAC0010,080023,2012,09,04,26.2,1,Y
IDCJAC0010,080023,2012,09,05,23.7,1,Y
IDCJAC0010,080023,2012,09,06,20.2,1,Y
IDCJAC0010,080023,2012,09,07,16.0,1,Y
IDCJAC0010,080023,2012,09,08,17.0,1,Y
IDCJAC0010,080023,2012,09,09,18.1,1,Y
IDCJAC0010,080023,2012,09,10,21.5,1,Y
IDCJAC0010,080023,2012,09,11,23.9,1,Y
IDCJAC0010,080023,2012,09,12,26.9,1,Y
IDCJAC0010,080023,2012,09,13,16.5,1,Y
IDCJAC0010,080023,2012,09,14,15.6,1,Y
IDCJAC0010,080023,2012,09,15,19.7,1,Y
IDCJAC0010,080023,2012,09,16,19.0,1,Y
IDCJAC0010,080023,2012,09,17,20.3,1,Y
IDCJAC0010,080023,2012,09,18,17.5,1,Y
IDCJAC0010,080023,2012,09,19,19.0,1,Y
IDCJAC0010,080023,2012,09,20,28.5,1,Y
IDCJAC0010,080023,2012,09,21,21.0,1,Y
IDCJAC0010,080023,2012,09,22,21.6,1,Y
IDCJAC0010,080023,2012,09,23,20.3,1,Y
IDCJAC0010,080023,2012,09,24,16.2,1,Y
IDCJAC0010,080023,2012,09,25,19.0,1,Y
IDCJAC0010,080023,2012,09,26,25.5,1,Y
IDCJAC0010,080023,2012,09,27,32.3,1,Y
IDCJAC0010,080023,2012,09,28,19.0,1,Y
IDCJAC0010,080023,2012,09,29,16.6,1,Y
IDCJAC0010,080023,2012,09,30,16.7,1,Y
IDCJAC0010,080023,2012,10,01,21.2,1,Y
IDCJAC0010,080023,2012,10,02,24.2,1,Y
IDCJAC0010,080023,2012,10,03,27.7,1,Y
IDCJAC0010,080023,2012,10,04,32.5,1,Y
IDCJAC0010,080023,2012,10,05,24.2,1,Y
IDCJAC0010,080023,2012,10,06,11.7,1,Y
IDCJAC0010,080023,2012,10,07,16.5,1,Y
IDCJAC0010,080023,2012,10,08,17.2,1,Y
IDCJAC0010,080023,2012,10,09,18.8,1,Y
IDCJAC0010,080023,2012,10,10,16.8,1,Y
IDCJAC0010,080023,2012,10,11,14.3,1,Y
IDCJAC0010,080023,2012,10,12,17.2,1,Y
IDCJAC0010,080023,2012,10,13,19.3,1,Y
IDCJAC0010,080023,2012,10,14,24.2,1,Y
IDCJAC0010,080023,2012,10,15,31.2,1,Y
IDCJAC0010,080023,2012,10,16,23.3,1,Y
IDCJAC0010,080023,2012,10,17,20.8,1,Y
IDCJAC0010,080023,2012,10,18,23.5,1,Y
IDCJAC0010,080023,2012,10,19,32.7,1,Y
IDCJAC0010,080023,2012,10,20,26.4,1,Y
IDCJAC0010,080023,2012,10,21,22.6,1,Y
IDCJAC0010,080023,2012,10,22,21.2,1,Y
IDCJAC0010,080023,2012,10,23,25.2,1,Y
IDCJAC0010,080023,2012,10,24,27.8,1,Y
IDCJAC0010,080023,2012,10,25,24.2,1,Y
IDCJAC0010,080023,2012,10,26,19.7,1,Y
IDCJAC0010,080023,2012,10,27,21.7,1,Y
IDCJAC0010,080023,2012,10,28,25.4,1,Y
IDCJAC0010,080023,2012,10,29,30.5,1,Y
IDCJAC0010,080023,2012,10,30,33.2,1,Y
IDCJAC0010,080023,2012,10,31,36.7,1,Y
IDCJAC0010,080023,2012,11,01,21.2,1,Y
IDCJAC0010,080023,2012,11,02,21.4,1,Y
IDCJAC0010,080023,2012,11,03,25.9,1,Y
IDCJAC0010,080023,2012,11,04,33.9,1,Y
IDCJAC0010,080023,2012,11,05,32.5,1,Y
IDCJAC0010,080023,2012,11,06,27.8,1,Y
IDCJAC0010,080023,2012,11,07,26.2,1,Y
IDCJAC0010,080023,2012,11,08,26.5,1,Y
IDCJAC0010,080023,2012,11,09,22.5,1,Y
IDCJAC0010,080023,2012,11,10,24.0,1,Y
IDCJAC0010,080023,2012,11,11,29.1,1,Y
IDCJAC0010,080023,2012,11,12,31.9,1,Y
IDCJAC0010,080023,2012,11,13,24.5,1,Y
IDCJAC0010,080023,2012,11,14,27.5,1,Y
IDCJAC0010,080023,2012,11,15,25.9,1,Y
IDCJAC0010,080023,2012,11,16,23.3,1,Y
IDCJAC0010,080023,2012,11,17,25.0,1,Y
IDCJAC0010,080023,2012,11,18,24.0,1,Y
IDCJAC0010,080023,2012,11,19,27.6,1,Y
IDCJAC0010,080023,2012,11,20,30.8,1,Y
IDCJAC0010,080023,2012,11,21,28.2,1,Y
IDCJAC0010,080023,2012,11,22,27.9,1,Y
IDCJAC0010,080023,2012,11,23,30.7,1,Y
IDCJAC0010,080023,2012,11,24,35.3,1,Y
IDCJAC0010,080023,2012,11,25,35.7,1,Y
IDCJAC0010,080023,2012,11,26,30.0,1,Y
IDCJAC0010,080023,2012,11,27,31.2,1,Y
IDCJAC0010,080023,2012,11,28,37.0,1,Y
IDCJAC0010,080023,2012,11,29,44.0,1,Y
IDCJAC0010,080023,2012,11,30,33.6,1,Y
IDCJAC0010,080023,2012,12,01,32.6,1,Y
IDCJAC0010,080023,2012,12,02,26.3,1,Y
IDCJAC0010,080023,2012,12,03,24.7,1,Y
IDCJAC0010,080023,2012,12,04,22.2,1,Y
IDCJAC0010,080023,2012,12,05,23.0,1,Y
IDCJAC0010,080023,2012,12,06,27.7,1,Y
IDCJAC0010,080023,2012,12,07,33.0,1,Y
IDCJAC0010,080023,2012,12,08,38.1,1,Y
IDCJAC0010,080023,2012,12,09,26.0,1,Y
IDCJAC0010,080023,2012,12,10,29.9,1,Y
IDCJAC0010,080023,2012,12,11,32.7,1,Y
IDCJAC0010,080023,2012,12,12,35.9,1,Y
IDCJAC0010,080023,2012,12,13,38.4,1,Y
IDCJAC0010,080023,2012,12,14,29.6,1,Y
IDCJAC0010,080023,2012,12,15,27.8,1,Y
IDCJAC0010,080023,2012,12,16,24.2,1,Y
IDCJAC0010,080023,2012,12,17,26.0,1,Y
IDCJAC0010,080023,2012,12,18,31.7,1,Y
IDCJAC0010,080023,2012,12,19,39.1,1,Y
