"","DC1","DC2","DC3","DS1","DS2","DS3","SC1","SC2","SC3","SS1","SS2","SS3","U1","U2","U3"
"Otu00349",33,21,26,12,12,5,21,15,38,7,8,25,18,12,4
"Otu00270",15,16,9,7,13,19,11,9,14,33,21,19,24,25,21
"Otu00245",18,17,7,10,17,14,20,16,18,18,11,10,35,31,13
"Otu00325",19,29,28,12,18,12,12,16,25,18,21,13,5,17,10
"Otu00308",23,16,22,33,17,14,19,18,19,18,14,22,7,5,7
"Otu00318",10,23,11,27,20,21,17,16,28,15,13,11,12,18,12
"Otu00322",13,45,38,13,5,11,16,9,59,2,9,5,14,9,6
"Otu00346",20,33,46,20,22,16,9,5,12,11,13,12,12,7,16
"Otu00291",11,13,14,12,10,12,24,16,22,8,12,16,32,30,21
"Otu00295",18,23,28,30,21,18,14,11,14,7,21,11,8,16,13
"Otu00303",20,23,49,26,17,20,16,10,12,11,20,6,6,6,11
"Otu00389",69,32,20,4,1,1,24,32,34,8,10,17,0,0,0
"Otu00332",8,17,7,15,15,19,21,26,43,10,9,10,18,20,13
"Otu00374",4,13,21,33,15,20,12,16,26,24,16,17,16,8,10
"Otu00283",3,10,8,10,18,10,21,19,18,16,17,19,50,17,14
"Otu00310",5,23,19,8,20,14,15,12,17,16,17,23,20,19,22
"Otu00315",21,35,35,21,14,11,15,6,14,10,10,11,7,8,32
"Otu00287",13,18,23,24,16,15,12,11,21,15,18,14,13,8,28
"Otu00316",12,27,17,18,19,5,19,22,17,21,15,16,15,7,18
"Otu00348",67,15,15,6,0,4,21,41,33,29,0,17,0,0,0
"Otu00334",15,14,19,27,18,16,22,6,24,15,23,16,6,15,11
"Otu00341",14,16,34,34,20,16,20,15,16,13,18,16,3,5,7
"Otu00351",20,15,23,19,16,17,21,15,17,26,14,30,3,2,9
"Otu00465",0,0,0,65,1,0,30,149,2,0,0,0,0,0,0
"Otu00321",24,21,23,27,17,14,9,10,18,17,15,20,6,14,11
"Otu00292",16,23,25,21,13,9,6,0,18,7,15,10,19,32,30
"Otu00312",10,7,2,28,31,17,34,10,15,13,12,18,27,12,8
"Otu00331",14,15,14,11,15,16,20,11,16,24,24,26,12,12,14
"Otu00300",11,9,16,26,30,16,30,17,10,17,18,19,7,11,6
"Otu00302",20,9,8,16,24,23,19,12,21,28,10,19,10,11,13
"Otu00327",24,10,15,9,15,10,8,6,14,20,8,11,22,29,42
"Otu00344",15,10,8,49,14,13,20,19,14,11,22,26,4,7,9
"Otu00375",17,19,13,46,6,8,13,7,18,14,13,22,14,17,14
"Otu00416",129,58,0,12,0,0,4,35,0,0,0,0,0,0,3
"Otu00337",18,23,10,22,17,16,20,27,19,22,17,21,2,3,3
"Otu00340",15,21,49,22,21,13,17,4,18,10,16,10,8,4,12
"Otu00381",18,26,38,26,14,19,13,13,18,13,9,18,7,3,5
"Otu00401",13,29,25,32,24,11,15,14,21,9,20,13,7,2,5
"Otu00404",18,11,14,18,12,25,23,19,23,11,5,19,15,13,14
"Otu00304",9,12,16,18,14,15,9,6,18,13,12,14,15,32,35
"Otu00382",8,31,32,18,24,18,13,6,16,13,22,10,7,12,8
"Otu00288",18,27,24,8,17,20,13,9,26,12,25,16,5,8,9
"Otu00328",22,16,26,19,13,13,18,23,18,18,14,18,1,10,8
"Otu00342",18,11,6,17,21,17,14,11,23,16,15,25,16,13,14
"Otu00366",18,21,46,11,23,19,15,9,20,11,20,13,3,6,2
"Otu00379",14,11,16,24,12,14,26,19,21,15,21,20,5,7,11
"Otu00324",15,23,17,12,6,15,19,12,26,14,20,22,7,17,10
