"","DC1","DC2","DC3","DS1","DS2","DS3","SC1","SC2","SC3","SS1","SS2","SS3","U1","U2","U3"
"Otu03680",4,0,1,0,5,1,0,5,0,5,0,1,0,1,2
"Otu03696",0,0,0,0,2,2,3,10,2,4,2,0,0,0,0
"Otu03730",0,0,0,7,0,0,1,0,0,0,0,0,6,7,4
"Otu03747",0,0,0,0,0,0,0,0,0,0,0,0,9,7,9
"Otu03762",7,4,4,0,0,0,0,0,4,0,0,0,0,2,4
"Otu03783",1,6,0,0,1,4,3,0,0,2,1,3,2,2,0
"Otu03806",0,0,0,0,1,2,0,21,1,0,0,0,0,0,0
"Otu03813",0,0,2,0,0,0,0,1,0,0,0,0,5,14,3
"Otu03883",3,1,3,2,0,1,1,0,0,1,0,0,9,2,2
"Otu03942",2,4,1,2,4,1,0,0,1,5,4,0,1,0,0
"Otu03972",5,1,0,0,5,3,5,0,0,5,0,0,0,0,1
"Otu04042",0,0,0,2,2,2,4,5,0,4,0,3,0,3,0
"Otu02508",2,0,2,0,0,0,2,3,1,0,0,0,4,7,3
"Otu02729",0,1,3,1,4,3,2,0,0,0,0,0,3,1,6
"Otu02752",6,3,3,0,2,3,0,0,1,2,0,1,0,3,0
"Otu02761",1,5,1,0,0,1,0,1,1,1,1,0,9,1,2
"Otu02813",0,0,0,0,0,0,0,0,0,0,0,0,11,13,0
"Otu02860",0,0,0,0,0,0,0,0,0,0,3,0,7,8,6
"Otu02893",1,0,0,0,2,6,3,2,3,0,0,1,2,1,3
"Otu02925",3,5,0,0,2,2,2,0,2,4,0,3,0,0,1
"Otu02932",0,1,0,1,0,3,1,8,0,0,1,3,2,4,0
"Otu02951",0,0,0,0,0,0,0,0,0,0,0,0,6,10,8
"Otu02956",0,0,6,0,0,0,0,2,0,2,5,3,1,4,1
"Otu02971",0,0,0,0,0,0,0,0,0,0,0,0,4,13,7
"Otu02977",2,2,0,0,1,4,1,4,0,5,2,2,0,0,1
"Otu03002",3,4,2,1,0,4,1,1,0,0,1,3,3,1,0
"Otu03023",7,14,0,0,0,0,0,0,2,0,1,0,0,0,0
"Otu03050",1,1,0,3,1,1,2,0,1,0,0,0,5,3,6
"Otu03062",3,2,0,0,0,3,0,0,4,0,0,4,2,3,3
"Otu03064",0,0,0,0,3,2,2,1,3,5,1,3,3,1,0
"Otu03066",0,1,0,0,2,0,2,1,0,0,1,0,5,4,8
"Otu03094",6,0,1,0,0,1,4,0,0,0,2,5,2,2,1
"Otu03133",2,1,1,0,0,1,0,1,0,2,1,1,3,3,8
"Otu03155",3,6,2,0,0,1,1,0,0,2,0,4,2,2,1
"Otu03156",0,5,0,0,2,3,0,2,2,2,0,1,1,4,2
"Otu03161",2,4,2,1,2,4,4,0,0,1,2,2,0,0,0
"Otu03162",0,0,0,0,0,0,0,0,0,0,0,0,16,5,3
"Otu03182",2,0,4,2,2,3,0,0,0,2,5,1,2,1,0
"Otu03197",1,0,1,0,0,1,1,0,1,4,5,2,1,2,5
"Otu03208",4,2,0,3,1,2,1,2,2,1,1,2,0,0,3
"Otu03217",1,3,2,3,3,0,1,2,1,1,1,1,2,0,3
"Otu03221",0,0,3,0,0,1,1,0,0,4,3,5,5,2,0
"Otu03223",0,0,1,1,1,3,0,0,0,0,0,0,3,2,13
"Otu03225",0,2,0,0,0,1,2,0,2,3,4,2,2,2,4
"Otu03247",0,2,1,2,1,1,1,1,1,1,2,0,2,3,6
"Otu03248",1,4,2,1,3,0,2,0,1,0,2,6,1,1,0
"Otu03250",0,7,2,0,0,0,0,0,3,3,2,1,1,2,3
"Otu03251",0,0,2,0,0,0,8,0,0,0,2,0,7,3,2
"Otu03252",6,0,1,0,1,0,1,7,0,1,0,3,0,4,0
"Otu03257",0,3,1,0,0,1,2,2,2,4,0,7,0,2,0
"Otu03259",0,0,0,3,1,0,0,2,1,2,5,2,6,0,2
"Otu03262",3,0,1,4,6,1,0,0,0,3,0,2,2,0,2
"Otu03266",4,0,0,1,4,2,2,4,1,4,1,1,0,0,0
"Otu03268",1,0,0,1,7,2,0,1,0,3,0,3,4,0,2
"Otu03280",4,0,0,0,0,0,0,1,0,0,0,0,4,0,15
"Otu03299",3,1,1,5,2,2,3,0,0,1,2,1,0,0,3
"Otu03306",1,1,5,1,1,3,4,3,0,0,1,0,1,3,0
"Otu03309",1,2,1,0,5,0,0,3,0,0,2,0,2,8,0
"Otu03311",19,1,2,0,0,0,1,0,0,0,0,1,0,0,0
"Otu03318",0,3,2,1,1,3,1,2,1,4,2,0,3,0,1
"Otu03329",1,3,1,0,0,0,0,15,4,0,0,0,0,0,0
"Otu03332",1,2,0,1,0,0,3,3,2,1,1,5,2,3,0
"Otu03338",1,0,0,0,4,5,2,3,2,2,1,1,2,1,0
"Otu03346",3,4,6,0,2,0,0,3,1,0,2,0,0,1,2
"Otu03367",3,0,0,1,0,0,0,0,2,1,0,3,7,5,2
"Otu03368",1,4,1,2,3,1,1,1,0,2,0,3,3,2,0
"Otu03377",2,3,2,1,2,2,0,0,0,2,3,0,3,3,1
"Otu03386",4,7,1,3,2,0,0,1,2,0,3,0,1,0,0
"Otu03391",3,0,2,0,2,2,1,2,3,1,1,3,4,0,0
"Otu03407",4,0,3,2,1,4,4,0,0,1,1,3,0,1,0
"Otu03421",3,0,0,0,2,0,1,2,0,0,3,3,8,2,0
"Otu03445",0,1,0,0,0,3,1,3,0,5,2,3,1,3,2
"Otu03456",0,7,2,0,0,2,4,0,0,0,0,3,0,4,2
"Otu03462",2,0,1,0,3,3,2,2,1,1,0,1,3,2,3
"Otu03464",3,2,1,0,4,2,1,1,0,0,6,2,1,0,1
"Otu03465",0,0,3,0,0,4,2,3,1,4,1,3,3,0,0
"Otu03475",0,2,0,0,8,6,0,0,2,1,5,0,0,0,0
"Otu03476",0,0,0,1,0,1,0,0,0,0,0,0,6,7,9
"Otu03477",0,1,3,1,2,0,1,1,0,2,2,1,3,0,7
"Otu03479",0,2,0,0,0,0,0,0,0,0,2,0,5,9,6
"Otu03497",0,0,2,0,0,1,1,3,5,0,1,3,2,6,0
"Otu03507",0,0,3,0,2,3,0,1,0,4,4,1,6,0,0
"Otu03511",0,0,4,1,6,0,0,1,1,0,3,7,1,0,0
"Otu03533",0,0,3,3,0,3,2,1,3,1,4,2,0,1,1
"Otu03535",0,0,0,1,0,0,1,0,0,0,7,15,0,0,0
"Otu03544",0,8,2,3,2,1,2,1,0,1,1,3,0,0,0
"Otu03553",4,0,2,0,2,1,7,6,0,0,0,0,2,0,0
"Otu03575",0,0,0,0,2,0,1,1,2,0,0,1,7,6,4
"Otu03601",0,1,1,0,2,5,0,0,3,2,6,4,0,0,0
"Otu03612",1,0,0,0,0,5,2,0,0,0,0,0,4,6,6
"Otu03615",5,2,3,0,0,0,0,3,4,3,0,4,0,0,0
"Otu03616",1,3,0,0,4,0,0,1,2,2,2,4,2,2,1
"Otu03643",0,0,1,0,0,6,3,2,2,0,6,3,0,0,1
"Otu03644",4,2,1,0,0,4,0,1,2,0,4,0,1,4,1
"Otu03645",0,1,0,1,0,6,2,5,2,4,0,3,0,0,0
"Otu03654",2,6,5,3,2,1,1,0,0,2,0,1,1,0,0
"Otu03659",0,5,1,0,0,0,0,2,3,2,0,5,2,2,2
"Otu03660",0,0,2,3,2,2,3,1,2,0,1,3,0,2,3
"Otu03673",17,0,0,0,0,0,0,4,3,0,0,0,0,0,0
"Otu03688",13,4,0,7,0,0,0,0,0,0,0,0,0,0,0
"Otu03722",0,0,0,0,0,0,0,0,0,0,0,0,6,9,9
"Otu03748",0,0,1,0,0,4,2,1,1,3,7,5,0,0,0
"Otu03749",6,10,3,0,0,0,0,2,1,0,0,0,0,2,0
"Otu03761",1,0,1,0,2,5,4,1,0,0,1,0,5,1,3
"Otu03769",3,7,0,4,0,2,1,0,0,2,0,3,0,0,2
"Otu03782",3,2,1,0,2,0,3,2,3,3,1,3,0,0,1
"Otu03799",0,0,3,1,4,1,1,2,4,3,3,0,0,2,0
"Otu03802",1,0,2,0,1,3,0,3,0,1,2,1,0,8,2
"Otu03825",0,0,0,1,0,20,0,0,0,0,0,0,0,0,3
"Otu03842",4,2,2,1,1,2,0,5,1,3,0,1,0,2,0
"Otu03845",0,0,0,0,1,3,0,2,0,0,3,0,9,4,2
"Otu03853",0,0,1,2,5,2,4,0,1,2,2,2,0,0,3
"Otu03855",0,1,1,0,1,2,4,0,4,5,2,4,0,0,0
"Otu03873",0,1,3,3,0,2,2,0,2,2,5,4,0,0,0
"Otu03983",0,3,0,2,1,0,0,0,0,0,1,0,15,0,2
"Otu04052",0,2,2,0,1,6,3,4,2,0,1,2,0,0,1
"Otu02670",2,2,0,1,1,3,0,0,0,0,1,1,6,4,2
"Otu02806",1,0,3,0,3,0,2,2,1,2,1,2,4,1,1
"Otu02856",0,0,0,1,0,0,0,0,1,0,1,0,9,11,0
"Otu02972",0,0,0,0,0,0,0,0,1,0,0,0,13,2,7
"Otu02975",0,5,4,0,4,0,0,0,0,1,1,1,2,2,3
"Otu02993",2,0,0,1,0,2,0,2,3,2,0,4,3,1,3
"Otu02995",2,4,0,0,3,3,0,0,1,1,4,1,0,0,4
"Otu03004",3,1,0,0,0,1,0,2,0,0,1,0,3,10,2
"Otu03009",6,1,0,0,3,1,6,0,0,0,3,0,3,0,0
"Otu03020",3,1,0,0,1,4,0,0,0,0,0,0,2,6,6
"Otu03056",0,1,2,1,0,4,0,1,4,0,0,1,5,2,2
"Otu03071",0,0,5,1,1,3,4,3,0,0,1,0,0,5,0
"Otu03083",3,0,0,0,0,3,0,6,6,0,0,0,4,1,0
"Otu03093",3,0,6,0,0,0,0,1,0,1,2,2,1,7,0
"Otu03109",1,2,0,0,0,8,1,8,0,1,2,0,0,0,0
"Otu03121",3,0,1,0,1,2,2,0,0,3,1,3,5,2,0
"Otu03134",0,1,3,0,0,3,1,1,2,1,2,3,1,4,1
"Otu03153",0,1,3,0,1,4,3,2,2,3,1,0,2,1,0
"Otu03195",0,0,0,4,0,1,1,1,0,1,8,2,5,0,0
"Otu03198",4,0,2,1,2,2,0,2,1,4,2,2,0,0,1
"Otu03244",0,1,0,0,0,3,0,3,0,3,4,0,5,3,1
"Otu03254",3,0,1,2,0,4,1,0,1,5,0,3,0,0,3
"Otu03273",1,1,0,3,2,1,0,4,2,0,1,0,2,3,3
"Otu03287",5,0,3,2,0,2,1,2,3,0,3,0,1,0,1
"Otu03291",0,0,2,0,1,1,0,0,3,3,1,4,1,4,3
"Otu03316",2,4,0,1,1,2,0,1,0,0,0,4,3,4,1
"Otu03381",0,1,0,0,0,6,0,0,2,0,2,4,3,1,4
"Otu03385",4,3,4,3,1,1,0,1,0,0,3,3,0,0,0
"Otu03392",0,0,0,0,0,2,2,1,1,4,0,2,4,3,4
"Otu03394",7,4,1,0,0,3,0,1,2,0,3,1,0,0,1
"Otu03419",0,1,0,0,1,1,0,1,0,1,0,0,4,7,7
"Otu03430",2,0,0,3,2,4,0,2,2,0,2,0,2,2,2
"Otu03439",1,5,2,0,0,2,0,2,1,3,0,1,2,2,2
"Otu03460",3,1,1,1,2,0,3,0,1,3,2,5,1,0,0
"Otu03468",1,2,0,0,2,3,4,0,1,6,3,1,0,0,0
"Otu03471",1,3,3,0,2,1,2,2,2,1,1,1,0,1,3
"Otu03509",0,1,0,2,3,5,1,0,2,6,0,2,1,0,0
"Otu03518",4,0,0,3,5,5,1,1,0,0,1,2,1,0,0
"Otu03537",0,0,1,1,1,0,2,0,3,0,0,3,1,11,0
"Otu03554",2,2,0,0,0,4,1,0,0,0,0,0,9,1,4
"Otu03571",1,1,0,0,1,5,1,4,0,2,1,5,2,0,0
"Otu03577",3,1,4,1,2,4,1,0,0,0,0,4,1,1,1
"Otu03578",0,0,0,3,0,1,2,0,3,4,0,2,4,1,3
"Otu03580",0,4,4,1,1,1,2,1,2,1,3,0,3,0,0
"Otu03607",3,0,1,0,0,3,1,3,0,5,2,0,2,0,3
"Otu03609",4,4,0,2,2,0,1,0,1,1,3,2,3,0,0
"Otu03639",1,0,2,1,2,0,0,7,4,0,2,4,0,0,0
"Otu03640",0,1,3,1,0,3,1,2,0,7,3,1,0,1,0
"Otu03647",3,5,1,0,1,1,2,4,1,1,3,1,0,0,0
"Otu03652",0,0,2,1,2,0,0,0,0,0,0,0,12,3,3
"Otu03661",4,6,2,5,0,3,2,0,0,0,0,0,0,0,1
"Otu03663",1,0,3,0,1,3,0,0,2,2,3,3,2,1,2
"Otu03664",0,0,0,0,4,0,0,12,0,5,2,0,0,0,0
"Otu03665",0,5,5,0,5,0,0,0,3,0,2,3,0,0,0
"Otu03668",1,0,0,0,0,0,0,0,0,0,0,0,10,7,5
"Otu03677",0,2,4,0,5,4,3,1,1,1,0,2,0,0,0
"Otu03682",0,2,0,1,0,3,0,0,5,3,0,3,0,3,3
"Otu03689",0,0,0,0,0,0,0,0,0,0,0,0,8,12,3
"Otu03691",0,4,1,3,1,3,2,2,0,3,0,0,2,1,1
"Otu03692",0,2,2,3,2,2,0,1,1,0,2,2,6,0,0
"Otu03700",1,0,3,0,1,8,2,0,2,0,2,3,0,0,1
"Otu03706",1,1,0,0,2,1,0,1,0,3,3,0,1,8,2
"Otu03712",0,0,0,1,0,0,10,4,0,1,3,2,1,1,0
"Otu03718",2,1,0,4,1,1,2,0,2,1,1,3,2,2,1
"Otu03740",1,1,1,1,1,0,3,0,0,0,0,1,5,5,4
"Otu03756",0,0,5,3,3,4,4,1,1,0,1,1,0,0,0
"Otu03757",1,4,8,0,0,4,0,0,1,0,1,0,3,1,0
"Otu03767",0,0,7,0,3,0,2,4,0,5,2,0,0,0,0
"Otu03776",0,1,0,0,6,1,1,2,0,2,4,2,1,2,1
"Otu03785",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
"Otu03792",0,6,5,2,2,0,3,1,3,1,0,0,0,0,0
"Otu03795",2,0,0,1,0,0,2,0,3,2,0,3,2,3,5
"Otu03796",2,0,0,0,0,0,0,0,0,0,0,0,4,14,3
"Otu03812",7,4,0,1,0,0,3,0,0,0,0,0,0,8,0
"Otu03822",2,3,6,0,3,0,0,1,5,2,1,0,0,0,0
"Otu03868",5,1,11,0,0,0,0,0,0,0,0,3,0,2,1
"Otu03869",0,4,1,2,1,0,1,1,0,1,1,0,0,4,7
"Otu03872",0,0,0,0,0,1,0,0,0,0,1,0,0,0,21
"Otu03885",2,1,4,0,0,1,0,3,0,2,3,2,3,1,1
"Otu03896",3,1,0,0,5,6,0,3,1,0,4,0,0,0,0
"Otu03910",1,0,1,0,2,0,2,4,0,3,0,3,5,2,0
"Otu03941",0,1,0,0,2,7,0,1,8,0,0,4,0,0,0
"Otu03952",6,5,0,0,0,0,5,1,0,3,0,0,0,1,2
"Otu03959",1,4,4,0,4,1,5,0,1,0,2,1,0,0,0
"Otu04011",0,2,3,1,2,0,0,6,3,2,0,0,1,0,3
"Otu04014",0,2,0,1,0,1,1,0,0,0,2,5,4,4,3
"Otu04043",2,5,1,2,1,2,3,0,1,0,2,0,2,1,1
"Otu04096",3,0,3,0,1,2,2,0,3,0,5,0,3,1,0
"Otu04203",0,3,3,1,0,0,2,6,1,0,4,2,1,0,0
"Otu04313",0,0,0,19,0,0,1,3,0,0,0,0,0,0,0
"Otu02839",2,3,2,1,0,0,0,5,2,1,1,0,0,3,2
"Otu02846",1,2,0,0,0,0,1,2,0,1,0,2,2,9,2
"Otu02949",0,0,0,1,1,3,1,0,5,0,4,4,1,0,2
"Otu03102",4,1,1,0,1,0,0,2,0,1,2,3,2,2,3
"Otu03124",0,2,3,2,1,2,0,1,2,0,7,1,0,0,1
"Otu03183",8,5,1,0,0,0,1,0,2,3,1,0,0,1,0
"Otu03192",2,6,2,0,1,2,0,2,2,1,0,0,0,4,0
"Otu03209",0,0,0,0,0,0,2,0,4,0,0,0,2,12,2
"Otu03226",2,1,0,3,2,0,0,0,0,1,0,1,9,1,2
"Otu03230",0,0,1,0,0,1,0,0,0,0,1,1,8,6,4
"Otu03256",4,3,2,2,0,3,0,0,0,1,4,0,2,0,1
"Otu03264",1,2,0,0,0,0,0,4,0,0,0,0,3,7,5
"Otu03272",0,4,6,0,0,0,4,2,0,0,4,2,0,0,0
"Otu03282",0,4,0,0,6,1,0,0,2,1,1,0,4,2,1
"Otu03284",4,1,0,0,1,0,0,2,0,1,3,0,2,6,2
"Otu03285",0,1,2,0,0,0,2,0,3,2,1,1,4,4,2
"Otu03295",1,0,0,0,0,0,4,5,0,2,0,1,6,3,0
"Otu03300",0,0,3,2,0,3,2,2,0,2,5,3,0,0,0
"Otu03312",0,0,0,0,0,0,0,0,0,0,0,0,4,15,3
"Otu03320",0,0,3,2,1,0,1,4,0,1,4,2,2,2,0
"Otu03328",0,0,1,0,0,2,0,0,0,0,1,6,3,2,7
"Otu03348",4,1,0,0,0,1,1,2,8,0,0,4,0,0,1
"Otu03349",7,1,3,0,0,2,0,0,0,0,0,0,5,4,0
"Otu03351",0,0,0,0,0,3,0,0,2,4,0,1,9,3,0
"Otu03352",0,0,0,0,0,0,0,0,0,0,0,0,8,4,10
"Otu03369",0,0,0,0,0,0,0,0,0,0,0,0,7,10,5
"Otu03380",4,0,3,0,1,2,2,1,0,0,1,0,2,5,1
"Otu03388",2,0,4,0,0,7,0,0,1,3,0,2,1,0,2
"Otu03389",0,0,0,1,0,2,1,0,3,0,2,2,8,3,0
"Otu03400",0,2,0,0,0,4,1,2,0,3,3,0,5,0,2
"Otu03423",0,1,3,2,1,0,0,0,0,1,0,0,10,3,1
"Otu03453",0,0,5,0,0,7,3,0,1,2,0,0,1,0,3
"Otu03455",3,2,0,0,0,0,2,0,1,2,3,5,1,3,0
"Otu03481",1,1,0,0,0,6,1,0,3,1,3,6,0,0,0
"Otu03483",0,1,0,0,0,0,0,0,0,0,0,0,8,10,3
"Otu03486",3,0,0,1,2,1,5,2,0,3,0,0,2,2,1
"Otu03487",0,2,0,0,0,2,0,7,1,2,1,1,2,3,1
"Otu03490",3,2,0,2,0,2,3,1,0,3,2,3,0,1,0
"Otu03494",5,0,0,0,2,1,4,0,1,2,2,2,1,1,1
"Otu03502",1,1,0,1,0,8,0,0,2,0,3,5,0,0,1
"Otu03521",6,0,0,0,5,2,0,1,1,1,0,0,5,0,1
"Otu03531",0,0,0,0,0,0,0,0,0,0,0,0,9,2,11
"Otu03536",4,0,0,0,0,2,1,3,0,2,2,2,4,0,2
"Otu03546",0,0,0,0,5,3,2,1,1,6,1,0,0,1,2
"Otu03551",3,3,2,0,1,1,1,0,3,4,1,2,1,0,0
"Otu03558",0,0,0,0,0,0,1,1,2,3,1,2,1,4,7
"Otu03562",4,2,2,0,0,1,0,0,0,3,1,0,0,4,5
"Otu03574",0,0,0,0,1,0,0,0,0,1,0,0,7,8,5
"Otu03585",1,0,0,0,0,0,0,0,0,0,0,0,8,7,6
"Otu03586",1,0,1,0,4,6,1,3,0,0,2,0,2,2,0
"Otu03594",7,3,3,2,6,0,0,0,0,1,0,0,0,0,0
"Otu03599",0,3,1,0,6,1,1,0,2,1,0,3,1,3,0
"Otu03619",4,2,1,1,2,2,0,2,0,0,0,0,2,3,3
"Otu03622",0,0,0,0,0,1,0,0,0,1,3,0,8,8,1
"Otu03626",3,1,0,0,1,3,2,0,0,2,3,5,2,0,0
"Otu03627",6,3,6,0,0,0,2,2,0,1,0,2,0,0,0
"Otu03628",2,2,5,1,2,3,0,0,0,4,0,3,0,0,0
"Otu03630",4,3,0,1,4,0,0,3,0,2,1,3,1,0,0
"Otu03638",3,0,0,0,0,0,0,4,1,1,0,4,3,2,4
"Otu03641",1,4,0,3,4,2,0,1,4,1,0,2,0,0,0
"Otu03656",0,0,0,0,0,2,8,0,12,0,0,0,0,0,0
"Otu03662",4,1,1,1,3,0,3,3,3,0,0,3,0,0,0
"Otu03672",0,1,1,1,0,0,4,4,0,1,0,6,2,0,2
"Otu03678",1,1,0,0,1,3,3,0,0,1,6,0,1,3,2
"Otu03693",8,2,7,0,0,0,0,0,0,1,1,3,0,0,0
"Otu03707",2,1,0,0,5,4,3,2,0,4,0,1,0,0,0
"Otu03710",0,0,2,0,4,0,3,1,1,0,0,2,3,5,1
"Otu03715",0,3,4,2,0,2,1,0,2,0,1,1,3,3,0
"Otu03720",0,3,4,2,1,2,2,1,2,1,1,3,0,0,0
"Otu03732",3,2,2,0,0,1,3,0,0,0,1,1,0,4,5
"Otu03750",0,0,2,1,5,1,1,5,0,1,2,2,2,0,0
"Otu03772",8,2,1,0,1,2,1,4,2,0,0,1,0,0,0
"Otu03779",3,2,0,2,2,3,4,0,0,3,2,1,0,0,0
"Otu03784",2,0,4,1,0,0,3,0,2,4,2,3,1,0,0
"Otu03793",0,0,0,6,2,0,4,4,0,4,1,0,1,0,0
"Otu03797",1,2,0,0,0,16,1,0,0,0,0,0,1,0,1
"Otu03804",0,2,0,0,1,5,2,0,1,2,4,0,1,2,2
"Otu03807",1,3,4,0,1,0,0,2,0,0,5,1,1,1,3
"Otu03824",7,1,2,4,2,1,0,0,2,0,1,2,0,0,0
"Otu03827",1,2,0,1,0,2,2,4,1,1,6,0,1,0,1
"Otu03849",3,1,0,2,2,2,0,0,1,4,3,3,0,1,0
"Otu03860",0,3,0,2,0,0,4,4,1,3,3,0,0,1,1
"Otu03871",1,3,3,0,0,3,0,0,0,5,3,3,0,0,1
"Otu03881",0,2,2,1,3,1,2,2,0,1,1,6,1,0,0
"Otu03891",3,2,1,0,0,0,1,0,1,0,0,0,2,9,3
"Otu03893",0,0,2,4,0,6,0,0,0,1,0,2,5,0,2
"Otu03898",1,3,11,0,1,3,0,0,0,0,2,1,0,0,0
"Otu03918",0,0,0,0,2,1,0,2,2,4,3,4,0,1,3
"Otu03925",0,0,0,0,1,1,1,2,2,3,0,2,3,1,6
"Otu03928",0,0,3,0,4,3,3,0,0,4,3,2,0,0,0
"Otu03940",0,1,3,1,1,0,1,1,1,3,1,2,4,0,3
"Otu03946",3,2,1,0,0,2,4,3,2,0,0,0,3,0,2
"Otu03955",0,0,0,0,0,0,3,19,0,0,0,0,0,0,0
"Otu03961",1,0,5,0,0,4,1,0,2,4,1,3,0,1,0
"Otu03965",0,0,0,0,0,0,0,0,0,0,1,0,12,8,1
"Otu03973",6,0,0,0,1,0,0,0,0,4,3,0,3,4,1
"Otu03980",0,0,0,0,1,0,1,0,0,0,0,0,7,5,8
"Otu03988",0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"Otu04035",1,2,6,0,0,1,1,4,2,0,1,0,3,0,1
"Otu04059",2,0,0,2,0,1,4,2,0,2,0,4,0,2,3
"Otu04080",21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu04089",4,4,1,1,0,7,0,0,4,0,0,1,0,0,0
"Otu04090",0,10,0,0,1,1,0,0,0,2,3,0,2,0,3
"Otu04132",0,1,0,2,0,0,0,13,5,0,0,1,0,0,0
"Otu04138",0,0,0,11,0,0,3,8,0,0,0,0,0,0,0
"Otu04183",4,3,4,0,3,0,0,0,0,0,1,0,2,2,3
"Otu04191",0,0,0,0,1,0,0,20,0,1,0,0,0,0,0
"Otu04215",1,0,0,0,0,6,0,3,1,0,1,6,4,0,0
"Otu04253",3,1,0,1,0,5,7,3,1,1,0,0,0,0,0
"Otu04312",0,1,1,1,0,1,0,0,0,0,0,0,3,0,15
"Otu04384",7,8,2,3,0,0,0,0,0,0,1,0,0,1,0
"Otu03012",2,5,2,1,1,0,1,4,2,0,0,1,0,2,0
"Otu03033",0,2,1,2,2,3,2,1,1,2,2,3,0,0,0
"Otu03036",2,0,1,0,5,5,1,2,0,0,2,0,1,1,1
"Otu03101",3,4,0,0,0,0,0,1,0,0,1,9,3,0,0
"Otu03130",2,0,0,0,3,4,0,2,0,2,6,2,0,0,0
"Otu03140",0,1,0,0,0,1,0,0,0,0,0,1,9,6,3
"Otu03176",0,6,1,1,4,0,1,1,1,2,4,0,0,0,0
"Otu03191",2,1,0,0,0,7,1,1,1,0,5,3,0,0,0
"Otu03224",0,0,0,1,0,3,1,0,3,4,0,1,5,3,0
"Otu03249",4,2,3,0,0,0,1,0,0,1,0,4,4,2,0
"Otu03265",1,0,0,1,4,3,2,3,0,0,3,3,0,0,1
"Otu03286",0,0,3,0,3,1,1,2,1,2,3,5,0,0,0
"Otu03298",0,1,1,0,0,0,0,3,0,0,0,1,4,4,7
"Otu03319",0,3,2,1,1,2,4,1,0,0,0,0,0,3,4
"Otu03325",0,3,0,2,0,2,0,0,0,2,1,0,4,6,1
"Otu03326",0,0,0,3,6,0,2,3,0,1,0,6,0,0,0
"Otu03331",3,0,3,2,0,5,0,2,0,1,1,3,0,1,0
"Otu03345",2,2,0,0,0,3,0,0,0,2,1,0,8,0,3
"Otu03384",2,1,0,0,9,0,0,3,0,0,3,3,0,0,0
"Otu03399",1,3,2,2,3,3,0,0,0,0,2,0,1,1,3
"Otu03406",2,2,2,0,4,0,3,0,1,2,0,2,0,3,0
"Otu03411",7,1,0,0,2,2,1,2,0,3,2,1,0,0,0
"Otu03429",0,3,0,0,1,0,3,1,0,2,4,0,3,4,0
"Otu03442",12,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"Otu03444",0,1,1,2,2,3,2,3,0,2,1,2,0,0,2
"Otu03461",2,2,1,3,3,6,1,0,0,1,0,1,0,1,0
"Otu03470",0,2,1,0,0,0,0,0,0,4,0,0,0,5,9
"Otu03473",0,0,0,1,4,3,6,2,2,0,0,1,2,0,0
"Otu03480",6,3,0,0,2,1,3,0,0,0,6,0,0,0,0
"Otu03484",4,0,3,1,0,2,1,0,0,2,3,1,2,2,0
"Otu03489",0,4,2,6,1,0,0,0,2,1,0,3,1,1,0
"Otu03493",1,3,1,0,0,4,0,2,0,0,0,2,4,4,0
"Otu03496",0,5,0,0,2,0,6,3,1,1,3,0,0,0,0
"Otu03499",5,2,4,0,2,1,1,0,0,0,4,1,0,0,1
"Otu03504",1,3,3,3,0,4,0,1,0,2,0,2,2,0,0
"Otu03506",0,0,1,0,0,0,1,0,0,0,0,0,10,4,5
"Otu03510",1,4,2,0,3,0,3,2,1,1,1,0,1,0,2
"Otu03512",1,2,1,1,4,2,1,1,1,4,0,2,0,1,0
"Otu03520",1,7,0,0,3,0,0,0,0,2,0,0,5,0,3
"Otu03525",0,0,1,3,3,4,1,3,1,2,1,0,0,1,1
"Otu03552",0,0,0,0,0,0,0,0,0,0,0,0,10,8,3
"Otu03557",0,3,1,0,0,1,0,0,0,0,1,0,4,7,4
"Otu03567",1,0,3,0,0,0,3,5,0,1,2,5,1,0,0
"Otu03568",0,0,0,0,0,0,0,0,0,2,0,0,7,11,1
"Otu03598",4,0,0,2,4,0,1,0,1,0,4,0,2,3,0
"Otu03605",1,0,0,0,0,7,0,0,0,0,0,0,4,4,5
"Otu03606",0,0,1,1,1,2,0,4,3,2,3,1,2,0,1
"Otu03625",3,1,3,2,0,0,0,1,0,0,2,1,1,5,2
"Otu03635",1,3,0,0,1,2,0,4,3,3,0,1,0,2,1
"Otu03636",10,0,0,0,0,7,0,0,0,0,4,0,0,0,0
"Otu03637",2,1,2,1,0,2,1,3,1,3,2,3,0,0,0
"Otu03650",5,7,0,0,0,0,3,4,2,0,0,0,0,0,0
"Otu03653",4,1,2,4,0,4,0,1,1,0,2,1,0,1,0
"Otu03679",1,6,1,4,0,3,1,0,0,0,0,2,1,2,0
"Otu03681",1,1,0,1,0,0,0,0,3,3,1,1,6,2,2
"Otu03683",1,4,3,1,2,0,0,0,2,1,1,0,4,0,2
"Otu03684",0,0,0,1,4,1,3,1,4,2,2,3,0,0,0
"Otu03701",3,2,4,0,4,3,2,0,3,0,0,0,0,0,0
"Otu03704",0,4,1,0,0,4,0,0,1,4,2,2,3,0,0
