Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2013,10,22,24.7,1,Y
IDCJAC0010,080023,2013,10,23,21.0,1,Y
IDCJAC0010,080023,2013,10,24,18.0,1,Y
IDCJAC0010,080023,2013,10,25,19.1,1,Y
IDCJAC0010,080023,2013,10,26,21.7,1,Y
IDCJAC0010,080023,2013,10,27,20.7,1,Y
IDCJAC0010,080023,2013,10,28,29.7,1,Y
IDCJAC0010,080023,2013,10,29,22.0,1,Y
IDCJAC0010,080023,2013,10,30,24.0,1,Y
IDCJAC0010,080023,2013,10,31,25.0,1,Y
IDCJAC0010,080023,2013,11,01,29.6,1,Y
IDCJAC0010,080023,2013,11,02,33.7,1,Y
IDCJAC0010,080023,2013,11,03,22.0,1,Y
IDCJAC0010,080023,2013,11,04,22.7,1,Y
IDCJAC0010,080023,2013,11,05,28.7,1,Y
IDCJAC0010,080023,2013,11,06,32.7,1,Y
IDCJAC0010,080023,2013,11,07,37.7,1,Y
IDCJAC0010,080023,2013,11,08,24.1,1,Y
IDCJAC0010,080023,2013,11,09,21.3,1,Y
IDCJAC0010,080023,2013,11,10,21.6,1,Y
IDCJAC0010,080023,2013,11,11,16.7,1,Y
IDCJAC0010,080023,2013,11,12,18.8,1,Y
IDCJAC0010,080023,2013,11,13,20.7,1,Y
IDCJAC0010,080023,2013,11,14,23.5,1,Y
IDCJAC0010,080023,2013,11,15,23.8,1,Y
IDCJAC0010,080023,2013,11,16,26.3,1,Y
IDCJAC0010,080023,2013,11,17,28.2,1,Y
IDCJAC0010,080023,2013,11,18,31.2,1,Y
IDCJAC0010,080023,2013,11,19,35.0,1,Y
IDCJAC0010,080023,2013,11,20,30.4,1,Y
IDCJAC0010,080023,2013,11,21,25.8,1,Y
IDCJAC0010,080023,2013,11,22,24.4,1,Y
IDCJAC0010,080023,2013,11,23,24.0,1,Y
IDCJAC0010,080023,2013,11,24,22.2,1,Y
IDCJAC0010,080023,2013,11,25,28.0,1,Y
IDCJAC0010,080023,2013,11,26,31.2,1,Y
IDCJAC0010,080023,2013,11,27,36.5,1,Y
IDCJAC0010,080023,2013,11,28,29.4,1,Y
IDCJAC0010,080023,2013,11,29,24.0,1,Y
IDCJAC0010,080023,2013,11,30,27.4,1,Y
IDCJAC0010,080023,2013,12,01,33.9,1,Y
IDCJAC0010,080023,2013,12,02,38.5,1,Y
IDCJAC0010,080023,2013,12,03,37.4,1,Y
IDCJAC0010,080023,2013,12,04,22.2,1,Y
IDCJAC0010,080023,2013,12,05,18.4,1,Y
IDCJAC0010,080023,2013,12,06,23.7,1,Y
IDCJAC0010,080023,2013,12,07,29.3,1,Y
IDCJAC0010,080023,2013,12,08,35.5,1,Y
IDCJAC0010,080023,2013,12,09,25.7,1,Y
IDCJAC0010,080023,2013,12,10,24.0,1,Y
IDCJAC0010,080023,2013,12,11,25.2,1,Y
IDCJAC0010,080023,2013,12,12,28.0,1,Y
IDCJAC0010,080023,2013,12,13,29.4,1,Y
IDCJAC0010,080023,2013,12,14,27.3,1,Y
IDCJAC0010,080023,2013,12,15,31.1,1,Y
IDCJAC0010,080023,2013,12,16,33.1,1,Y
IDCJAC0010,080023,2013,12,17,35.3,1,Y
IDCJAC0010,080023,2013,12,18,38.7,1,Y
IDCJAC0010,080023,2013,12,19,42.1,1,Y
IDCJAC0010,080023,2013,12,20,42.2,1,Y
IDCJAC0010,080023,2013,12,21,36.8,1,Y
IDCJAC0010,080023,2013,12,22,30.8,1,Y
IDCJAC0010,080023,2013,12,23,24.0,1,Y
IDCJAC0010,080023,2013,12,24,28.8,1,Y
IDCJAC0010,080023,2013,12,25,31.5,1,Y
IDCJAC0010,080023,2013,12,26,34.4,1,Y
IDCJAC0010,080023,2013,12,27,32.0,1,Y
IDCJAC0010,080023,2013,12,28,40.0,1,Y
IDCJAC0010,080023,2013,12,29,27.8,1,Y
IDCJAC0010,080023,2013,12,30,29.7,1,Y
IDCJAC0010,080023,2013,12,31,32.1,1,Y
